Krum Server | DEBUG flwr 2024-03-20 13:33:10,619 | server.py:236 | fit_round 9 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:10,955 | server.py:125 | fit progress: (9, 0.8391474211289566, {'accuracy': 0.5959}, 30.054502390907146)
Krum Server | DEBUG flwr 2024-03-20 13:33:10,958 | server.py:173 | evaluate_round 9: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:11,952 | server.py:187 | evaluate_round 9 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:11,953 | server.py:222 | fit_round 10: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:12,690 | server.py:236 | fit_round 10 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:12,998 | server.py:125 | fit progress: (10, 0.8381812994494471, {'accuracy': 0.6002}, 32.09749157796614)
Krum Server | DEBUG flwr 2024-03-20 13:33:12,999 | server.py:173 | evaluate_round 10: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:13,864 | server.py:187 | evaluate_round 10 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:13,865 | server.py:222 | fit_round 11: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:14,581 | server.py:236 | fit_round 11 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:14,778 | server.py:125 | fit progress: (11, 0.8410463504113915, {'accuracy': 0.5986}, 33.8780007379828)
Krum Server | DEBUG flwr 2024-03-20 13:33:14,779 | server.py:173 | evaluate_round 11: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:15,585 | server.py:187 | evaluate_round 11 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:15,586 | server.py:222 | fit_round 12: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:16,156 | server.py:236 | fit_round 12 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:16,474 | server.py:125 | fit progress: (12, 0.8344230602948924, {'accuracy': 0.6002}, 35.57334305893164)
Krum Server | DEBUG flwr 2024-03-20 13:33:16,477 | server.py:173 | evaluate_round 12: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:17,204 | server.py:187 | evaluate_round 12 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:17,205 | server.py:222 | fit_round 13: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:17,769 | server.py:236 | fit_round 13 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:18,013 | server.py:125 | fit progress: (13, 0.8539825035091811, {'accuracy': 0.5928}, 37.112479993957095)
Krum Server | DEBUG flwr 2024-03-20 13:33:18,013 | server.py:173 | evaluate_round 13: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:18,760 | server.py:187 | evaluate_round 13 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:18,761 | server.py:222 | fit_round 14: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:19,333 | server.py:236 | fit_round 14 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:19,657 | server.py:125 | fit progress: (14, 0.8313863636988712, {'accuracy': 0.5966}, 38.756737988907844)
Krum Server | DEBUG flwr 2024-03-20 13:33:19,661 | server.py:173 | evaluate_round 14: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:20,402 | server.py:187 | evaluate_round 14 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:20,403 | server.py:222 | fit_round 15: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:21,031 | server.py:236 | fit_round 15 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:21,354 | server.py:125 | fit progress: (15, 0.8514216747203467, {'accuracy': 0.5981}, 40.453481101896614)
Krum Server | DEBUG flwr 2024-03-20 13:33:21,357 | server.py:173 | evaluate_round 15: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:22,097 | server.py:187 | evaluate_round 15 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:22,097 | server.py:222 | fit_round 16: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:22,670 | server.py:236 | fit_round 16 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:22,990 | server.py:125 | fit progress: (16, 0.8322280927613861, {'accuracy': 0.5976}, 42.08959262294229)
Krum Server | DEBUG flwr 2024-03-20 13:33:22,993 | server.py:173 | evaluate_round 16: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:23,720 | server.py:187 | evaluate_round 16 received 190 results and 0 failures
