Krum Server | INFO flwr 2024-03-10 15:12:16,163 | server.py:125 | fit progress: (8, 0.8243439686951582, {'accuracy': 0.6041}, 1.8087163659984071)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,164 | server.py:173 | evaluate_round 8: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,207 | server.py:187 | evaluate_round 8 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:16,207 | server.py:222 | fit_round 9: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,344 | server.py:236 | fit_round 9 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:16,361 | server.py:125 | fit progress: (9, 0.8230068653941595, {'accuracy': 0.6045}, 2.006464659996709)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,361 | server.py:173 | evaluate_round 9: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,404 | server.py:187 | evaluate_round 9 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:16,404 | server.py:222 | fit_round 10: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,520 | server.py:236 | fit_round 10 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:16,537 | server.py:125 | fit progress: (10, 0.8216679104654233, {'accuracy': 0.603}, 2.1831635129965434)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,538 | server.py:173 | evaluate_round 10: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,582 | server.py:187 | evaluate_round 10 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:16,583 | server.py:222 | fit_round 11: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,706 | server.py:236 | fit_round 11 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:16,733 | server.py:125 | fit progress: (11, 0.8219484600716743, {'accuracy': 0.6047}, 2.3784017759971903)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,737 | server.py:173 | evaluate_round 11: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,798 | server.py:187 | evaluate_round 11 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:16,799 | server.py:222 | fit_round 12: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,945 | server.py:236 | fit_round 12 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:16,970 | server.py:125 | fit progress: (12, 0.8200612220843583, {'accuracy': 0.6033}, 2.6154138969977794)
Krum Server | DEBUG flwr 2024-03-10 15:12:16,972 | server.py:173 | evaluate_round 12: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,031 | server.py:187 | evaluate_round 12 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,031 | server.py:222 | fit_round 13: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,155 | server.py:236 | fit_round 13 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:17,172 | server.py:125 | fit progress: (13, 0.8207680035439602, {'accuracy': 0.6039}, 2.818252526998549)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,175 | server.py:173 | evaluate_round 13: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,215 | server.py:187 | evaluate_round 13 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,215 | server.py:222 | fit_round 14: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,346 | server.py:236 | fit_round 14 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:17,362 | server.py:125 | fit progress: (14, 0.8189361392365372, {'accuracy': 0.6028}, 3.0077896939983475)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,363 | server.py:173 | evaluate_round 14: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,403 | server.py:187 | evaluate_round 14 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,403 | server.py:222 | fit_round 15: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,550 | server.py:236 | fit_round 15 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:17,566 | server.py:125 | fit progress: (15, 0.8191158251997133, {'accuracy': 0.607}, 3.212030712998967)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,567 | server.py:173 | evaluate_round 15: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,599 | server.py:187 | evaluate_round 15 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,600 | server.py:222 | fit_round 16: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,721 | server.py:236 | fit_round 16 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:17,737 | server.py:125 | fit progress: (16, 0.8180309725953674, {'accuracy': 0.6065}, 3.3828401599967037)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,738 | server.py:173 | evaluate_round 16: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,781 | server.py:187 | evaluate_round 16 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,781 | server.py:222 | fit_round 17: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,915 | server.py:236 | fit_round 17 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:17,941 | server.py:125 | fit progress: (17, 0.8177236339900943, {'accuracy': 0.6063}, 3.5866414309966785)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,943 | server.py:173 | evaluate_round 17: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:17,996 | server.py:187 | evaluate_round 17 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:17,996 | server.py:222 | fit_round 18: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,121 | server.py:236 | fit_round 18 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:18,143 | server.py:125 | fit progress: (18, 0.8176626792585959, {'accuracy': 0.6096}, 3.7891899259993806)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,147 | server.py:173 | evaluate_round 18: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,190 | server.py:187 | evaluate_round 18 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:18,190 | server.py:222 | fit_round 19: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,327 | server.py:236 | fit_round 19 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:18,346 | server.py:125 | fit progress: (19, 0.8170545471136377, {'accuracy': 0.6062}, 3.9917527939978754)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,347 | server.py:173 | evaluate_round 19: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,387 | server.py:187 | evaluate_round 19 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:18,388 | server.py:222 | fit_round 20: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,509 | server.py:236 | fit_round 20 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:18,532 | server.py:125 | fit progress: (20, 0.8170379580481824, {'accuracy': 0.6062}, 4.177669797998533)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,534 | server.py:173 | evaluate_round 20: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,583 | server.py:187 | evaluate_round 20 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:18,584 | server.py:222 | fit_round 21: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,694 | server.py:236 | fit_round 21 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:18,717 | server.py:125 | fit progress: (21, 0.8174537608591051, {'accuracy': 0.6054}, 4.362450130996876)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,717 | server.py:173 | evaluate_round 21: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,758 | server.py:187 | evaluate_round 21 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:18,759 | server.py:222 | fit_round 22: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,871 | server.py:236 | fit_round 22 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:18,890 | server.py:125 | fit progress: (22, 0.8159786716400566, {'accuracy': 0.6075}, 4.535870081999747)
